Class_Style_Color_Size	AEO_DC_From_LOC	AEO_DC_To_LOC	Allocate_Date	Ship_Date	Arrive_Date	BULK_OH_Class_Style_Color_Size_DC	BULK_OH_Class_Style_Color_Size_Alloc	Class_Style_Color_Size		QTY	0	0	Alloc	1	N		DEPLOYMENT	0	Manual Import	0000000000	FloorSet	Current_Time_Stamp
"3435_3515_946_8008"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_3435_3515_946_8008_DC2959"	"BULK_OH_3435_3515_946_8008_DC2959_ALC16723"	"3435_3515_946_8008"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.05"
"114_6061_53_2830"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_114_6061_53_2830_DC2959"	"BULK_OH_114_6061_53_2830_DC2959_ALC16723"	"114_6061_53_2830"	""	"10"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.05"
"1703_5293_12_1603"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_1703_5293_12_1603_DC2959"	"BULK_OH_1703_5293_12_1603_DC2959_ALC16723"	"1703_5293_12_1603"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.05"
"5494_2496_598_3000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_5494_2496_598_3000_DC2959"	"BULK_OH_5494_2496_598_3000_DC2959_ALC16723"	"5494_2496_598_3000"	""	"19"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.05"
"441_2469_410_2000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_441_2469_410_2000_DC2959"	"BULK_OH_441_2469_410_2000_DC2959_ALC16723"	"441_2469_410_2000"	""	"13"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.06"
"441_2469_410_3000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_441_2469_410_3000_DC2959"	"BULK_OH_441_2469_410_3000_DC2959_ALC16723"	"441_2469_410_3000"	""	"13"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.06"
"441_2469_410_4000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_441_2469_410_4000_DC2959"	"BULK_OH_441_2469_410_4000_DC2959_ALC16723"	"441_2469_410_4000"	""	"7"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.06"
"441_2469_100_1000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_441_2469_100_1000_DC2959"	"BULK_OH_441_2469_100_1000_DC2959_ALC16723"	"441_2469_100_1000"	""	"7"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.07"
"441_2469_100_2000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_441_2469_100_2000_DC2959"	"BULK_OH_441_2469_100_2000_DC2959_ALC16723"	"441_2469_100_2000"	""	"21"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.07"
"441_2469_100_3000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_441_2469_100_3000_DC2959"	"BULK_OH_441_2469_100_3000_DC2959_ALC16723"	"441_2469_100_3000"	""	"20"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.07"
