"FROM WAREHOUSE","TO WAREHOUSE","DEPT","CLASS","STYLE","COLOR","SIZE","QTY","Current_Time_Stamp"
2959,6900,78,1784,2551,804,2000,28,"2023-11-20.20.26.18"
2959,6900,78,1784,2551,804,4000,9,"2023-11-20.20.26.18"
2959,6900,75,752,3834,73,2000,5,"2023-11-20.20.26.18"
2959,6900,170,6498,5570,73,900,6,"2023-11-20.20.26.18"
2959,6900,170,6498,5570,73,1000,27,"2023-11-20.20.26.18"
2959,6900,170,6498,5570,73,2000,78,"2023-11-20.20.26.18"
2959,6900,170,6498,5570,73,3000,102,"2023-11-20.20.26.18"
2959,6900,170,6498,5570,73,4000,55,"2023-11-20.20.26.18"
2959,6900,170,6498,5570,73,5000,25,"2023-11-20.20.26.18"
2959,6900,170,6498,5570,73,6000,14,"2023-11-20.20.26.18"
2959,6900,70,704,5567,324,1601,10,"2023-11-20.20.26.18"
2959,6900,70,704,5567,324,1602,35,"2023-11-20.20.26.18"
2959,6900,70,704,5567,324,1603,11,"2023-11-20.20.26.18"
2959,6900,70,704,5567,324,1612,34,"2023-11-20.20.26.18"
2959,6900,70,704,5567,324,1613,62,"2023-11-20.20.26.18"
2959,6900,70,704,5567,324,1622,24,"2023-11-20.20.26.18"
2959,6900,70,704,5567,324,1623,37,"2023-11-20.20.26.18"
2959,6900,70,704,5567,324,1624,22,"2023-11-20.20.26.18"
2959,6900,70,704,5567,73,1601,194,"2023-11-20.20.26.18"
2959,6900,70,704,5567,73,1602,473,"2023-11-20.20.26.18"
2959,6900,70,704,5567,73,1603,690,"2023-11-20.20.26.18"
2959,6900,70,704,5567,73,1611,114,"2023-11-20.20.26.18"
2959,6900,70,704,5567,73,1612,1682,"2023-11-20.20.26.18"
2959,6900,70,704,5567,73,1613,1530,"2023-11-20.20.26.18"
2959,6900,70,704,5567,73,1616,16,"2023-11-20.20.26.18"
2959,6900,70,704,5567,73,1622,392,"2023-11-20.20.26.18"
2959,6900,70,704,5567,73,1623,523,"2023-11-20.20.26.18"
2959,6900,70,704,5567,73,1624,290,"2023-11-20.20.26.18"
2959,6900,65,745,2739,109,2000,7,"2023-11-20.20.26.18"
2959,6900,11,119,6117,450,2828,6,"2023-11-20.20.26.18"
2959,6900,11,119,6117,450,2830,8,"2023-11-20.20.26.18"
2959,6900,70,491,5104,73,1623,45,"2023-11-20.20.26.18"
